,NumDots,PathLevel,NumDash,NumDashInHostname,HostnameLength,NumSensitiveWords,PctExtHyperlinks,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,IframeOrFrame,UrlLengthRT,AbnormalExtFormActionR,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
7243,1,3,0,0,10,0,0.08125,1,0.0125,0,1,1,0,-1,1,0
449,1,11,1,0,26,2,0.6470588235,1,0.3529411765,1,0,0,-1,1,-1,1
2227,3,4,1,0,17,1,0.9230769231,1,0.0,1,0,0,0,1,-1,1
5756,2,1,0,0,15,0,0.0099009901,0,0.0,0,0,0,0,1,1,0
810,3,5,0,0,12,0,0.9230769231,1,0.0,1,0,0,0,1,-1,1
4180,3,2,1,1,29,1,0.0,1,0.0,0,0,0,0,1,1,1
9000,2,3,1,1,9,0,0.1428571429,0,0.0102040816,0,0,0,1,1,1,0
5438,2,14,0,0,21,0,0.2673267327,0,0.0,0,1,0,-1,1,1,0
7533,2,5,17,0,26,0,0.3956834532,1,0.035971223,0,0,1,-1,0,0,0
6369,1,2,6,0,8,0,0.2262773723,0,0.0218978102,0,1,0,0,1,1,0
8416,3,3,0,0,17,0,0.05,1,0.0125,0,0,1,1,-1,1,0
1477,5,4,2,1,29,0,1.0,1,0.0,1,0,1,0,0,-1,1
1790,2,2,1,0,19,0,1.0,1,0.0,1,0,0,1,-1,-1,1
2008,3,3,0,0,17,0,0.0,1,1.0,0,0,0,1,1,-1,1
682,2,2,0,0,25,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
2816,3,1,1,1,29,0,0.72,1,0.0,1,0,0,1,0,-1,1
9431,2,2,2,0,15,0,0.0352112676,0,0.0633802817,0,0,1,1,1,1,0
3774,3,4,5,4,57,0,0.0555555556,1,0.9444444444,0,0,1,-1,1,-1,1
6495,1,5,6,0,10,0,0.4850299401,1,0.0119760479,0,1,1,0,1,0,0
8878,2,3,2,0,15,0,0.3173652695,1,0.0119760479,0,0,1,1,-1,0,0
7361,2,8,7,1,28,0,0.1346153846,1,0.0865384615,0,1,1,-1,0,1,0
8366,2,3,1,0,22,0,0.0482758621,1,0.0068965517,0,0,0,1,1,1,0
7474,1,3,9,0,13,0,0.4166666667,1,0.0454545455,0,0,1,-1,-1,0,0
46,4,3,0,0,16,0,0.0,1,0.0,0,0,0,0,1,1,1
30,2,3,0,0,32,0,0.0,1,1.0,0,0,0,-1,1,-1,1
8250,1,5,6,0,24,0,0.1073170732,1,0.0341463415,0,0,1,-1,0,1,0
6935,4,3,1,0,17,0,0.1454545455,1,0.0,0,0,1,0,1,1,0
1468,2,5,1,0,12,0,1.0,1,0.0,1,0,1,1,0,-1,1
1665,1,6,0,0,17,0,0.0666666667,1,0.8666666667,0,0,0,0,1,-1,1
1416,2,9,0,0,13,0,1.0,1,0.0,1,0,0,-1,1,-1,1
6480,3,5,15,0,30,0,0.1868852459,1,0.1770491803,0,0,1,-1,0,0,0
4852,2,2,0,0,12,0,0.0,1,0.0,1,0,0,1,1,1,1
2470,3,2,1,1,13,0,1.0,1,0.0,0,0,1,1,1,-1,1
4373,5,2,0,0,17,1,1.0,1,0.0,0,1,0,-1,0,-1,1
8524,1,3,0,0,9,0,0.0606060606,1,0.0606060606,0,0,1,1,1,1,0
429,1,3,0,0,10,0,0.0,1,0.0,0,0,0,1,1,1,1
5244,2,5,1,0,22,0,0.0644067797,0,0.0,0,0,0,-1,1,1,0
2119,3,4,0,0,15,1,1.0,1,0.0,1,0,1,0,1,-1,1
385,2,4,0,0,15,0,0.0,1,1.0,0,0,0,0,1,-1,1
1945,2,4,1,0,17,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
4224,3,4,0,0,35,0,0.0,1,1.0,0,0,0,0,1,-1,1
473,3,2,0,0,15,0,1.0,1,0.0,1,0,0,1,1,-1,1
2129,2,5,0,0,15,1,0.0,1,0.0,0,0,0,-1,1,1,1
6556,2,3,6,0,17,0,0.0496183206,1,0.0229007634,0,0,1,-1,-1,1,0
6998,3,3,0,0,18,0,0.0698924731,1,0.0,0,0,1,0,0,1,0
1055,1,6,0,0,22,0,0.0,1,0.0,0,0,0,-1,1,1,1
3274,3,7,2,0,15,1,0.9111111111,1,0.0888888889,1,0,0,-1,1,-1,1
4961,2,3,0,0,14,0,0.0,1,1.0,0,0,0,1,1,-1,1
5363,2,6,9,0,13,0,0.1724137931,1,0.0517241379,0,0,0,-1,0,1,0
5816,2,6,11,0,20,0,0.0410447761,1,0.0037313433,0,0,1,-1,1,1,0
811,1,4,1,0,13,0,0.0,1,0.0,0,0,0,-1,1,1,1
4573,2,3,1,1,12,0,0.0,1,0.0,0,0,1,1,1,1,1
6137,3,2,8,0,25,0,0.1370967742,0,0.0967741935,0,1,1,-1,1,1,0
2388,2,7,1,1,26,2,0.0,1,0.0,0,0,0,-1,1,1,1
9648,2,3,3,0,12,0,0.0454545455,1,0.0,0,0,1,0,1,1,0
6225,1,6,9,0,18,0,0.033557047,1,0.0268456376,0,0,1,-1,1,1,0
111,1,2,0,0,9,0,0.0,1,1.0,0,0,0,1,1,-1,1
8909,1,3,1,0,21,0,0.0985915493,1,0.0845070423,0,0,0,1,1,1,0
1745,1,6,1,0,11,0,0.0,1,1.0,0,0,0,1,0,-1,1
7851,2,2,5,0,16,0,0.0975609756,1,0.0,0,0,1,0,-1,1,0
1452,2,3,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1,1
319,3,2,0,0,27,0,0.0,1,1.0,1,0,1,1,1,-1,1
8593,1,1,0,0,26,0,0.0256410256,0,0.0,0,1,0,1,1,1,0
3333,4,2,0,0,32,0,0.0,1,0.0,0,0,0,0,1,1,1
1922,3,4,1,1,21,0,0.0,1,0.0,0,0,0,1,1,1,1
5865,3,1,7,0,18,0,0.1352657005,1,0.0338164251,0,1,1,0,1,1,0
9528,4,1,0,0,15,0,0.1764705882,1,0.0196078431,0,0,0,1,1,1,0
3685,2,3,0,0,25,1,0.0,1,1.0,0,0,0,1,1,-1,1
4275,2,10,1,1,9,0,0.9230769231,1,0.0,1,0,0,-1,1,-1,1
4889,3,3,0,0,10,0,0.0,0,0.0,0,0,1,1,1,1,1
5225,1,5,12,0,15,0,0.0696864111,0,0.0,0,1,0,-1,1,1,0
7472,1,5,7,0,15,0,0.1538461538,1,0.0256410256,0,1,1,-1,1,1,0
3605,2,4,1,0,28,1,0.0,1,1.0,0,0,0,0,1,-1,1
1052,5,2,0,0,12,0,1.0,1,0.0,1,0,1,1,1,-1,1
4156,3,5,1,0,12,0,0.9230769231,1,0.0,1,0,0,0,1,-1,1
9676,2,3,0,0,22,0,0.0382513661,1,0.0054644809,0,0,0,1,1,1,0
99,3,2,0,0,28,0,0.0,1,1.0,0,0,0,1,1,-1,1
7508,2,4,0,0,17,0,0.2638297872,1,0.0021276596,0,0,0,0,1,1,0
1456,4,2,0,0,21,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
7688,2,1,1,0,15,0,0.0,1,0.0,0,0,0,-1,1,1,0
4004,5,6,0,0,16,0,0.6949152542,1,0.0,0,0,1,-1,1,-1,1
6866,2,5,5,0,35,0,0.1056179775,1,0.0898876404,0,1,1,-1,1,1,0
4509,3,3,2,0,20,0,0.0,1,0.0,0,0,0,-1,1,1,1
3299,2,6,0,0,16,0,0.0,1,0.0,0,0,0,-1,1,1,1
3799,3,4,5,4,57,0,0.0555555556,1,0.9444444444,0,0,1,-1,1,-1,1
4281,2,3,0,0,15,0,1.0,1,0.0,0,0,1,1,1,-1,1
9051,1,2,6,0,5,0,0.0235294118,1,0.1176470588,0,0,1,1,-1,1,0
6462,1,5,17,0,12,0,0.4824561404,1,0.0438596491,0,1,1,-1,0,0,0
7912,2,5,4,0,18,0,0.0625,1,0.0277777778,0,0,0,-1,-1,1,0
1414,3,1,0,0,25,0,0.2,1,0.8,0,0,0,1,1,-1,1
540,1,4,1,0,13,0,0.0,1,0.0,0,0,0,-1,1,1,1
5815,2,3,4,0,19,0,0.0408163265,1,0.0102040816,0,1,1,0,1,1,0
8199,1,5,6,0,20,0,0.1234567901,0,0.0617283951,0,0,1,-1,1,1,0
3680,6,7,4,4,55,1,0.0,1,0.0,0,0,0,-1,1,1,1
754,1,5,0,0,17,0,0.0666666667,1,0.8666666667,0,0,0,1,1,-1,1
4196,5,6,1,0,18,0,0.0833333333,1,0.9166666667,1,0,1,-1,1,-1,1
2650,3,7,0,0,15,0,0.0,1,1.0,1,0,0,-1,1,-1,1
4522,3,3,0,0,26,1,0.0391304348,1,0.947826087,0,0,1,0,1,-1,1
9519,2,0,0,0,21,0,0.0208333333,0,0.1041666667,0,0,1,1,1,1,0
3118,2,3,0,0,22,0,0.0,1,1.0,0,0,0,-1,1,-1,1
3728,3,3,0,0,15,1,0.0666666667,1,0.9333333333,0,0,0,0,1,-1,1
3886,2,3,0,0,12,0,0.0833333333,1,0.1666666667,1,0,0,1,1,1,1
7107,1,3,7,0,18,0,0.4579439252,1,0.0280373832,0,0,1,0,1,0,0
8068,3,4,5,0,13,0,0.1086956522,0,0.0434782609,0,1,0,-1,1,1,0
7325,2,3,0,0,15,0,0.0683760684,1,0.0,0,0,1,0,-1,1,0
8483,1,2,1,0,24,0,0.2307692308,1,0.0,0,0,0,1,1,1,0
8767,2,2,0,0,25,0,0.0,0,0.8,0,0,0,1,1,-1,0
6500,1,3,4,0,18,0,0.232,1,0.0,0,0,0,0,1,1,0
8426,1,0,0,0,19,0,0.152173913,1,0.1304347826,0,1,0,1,1,1,0
7963,2,1,0,0,15,0,0.0137931034,0,0.0,0,0,0,-1,1,1,0
601,4,4,2,0,13,2,0.0,1,0.0,1,0,1,-1,1,1,1
9249,2,3,0,0,23,0,0.0050251256,1,0.0,0,0,0,0,1,1,0
8919,2,2,0,0,24,0,0.0718562874,0,0.0838323353,0,1,0,1,1,1,0
6814,3,3,3,0,23,0,0.1265822785,0,0.0,0,0,1,-1,1,1,0
5411,1,4,3,0,16,0,0.2105263158,0,0.2105263158,0,1,1,0,1,0,0
8747,1,4,0,0,16,0,0.1846965699,1,0.0079155673,0,0,1,1,0,1,0
5522,2,3,7,0,11,0,0.0406976744,1,0.0,0,0,0,-1,0,1,0
1044,1,3,0,0,6,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
7334,2,2,3,0,28,0,0.1634615385,1,0.0,0,0,1,-1,0,1,0
1557,2,4,1,0,22,0,0.0,1,1.0,0,0,0,0,1,-1,1
3739,2,3,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1,1
3522,2,3,1,0,21,0,0.0,1,0.7272727273,0,0,0,0,-1,-1,1
180,1,3,0,0,16,0,0.0,1,0.0,0,0,0,1,1,1,1
2115,2,3,1,0,16,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
1699,3,2,0,0,20,0,0.0,1,0.0,0,0,0,1,1,1,1
1379,3,3,0,0,13,0,0.0,1,0.0,0,0,0,1,1,1,1
7229,1,5,2,0,16,0,0.3986928105,0,0.0196078431,0,0,0,0,1,0,0
9143,1,2,0,0,15,0,0.0,1,0.0,0,0,0,1,1,1,0
618,3,6,0,0,23,1,0.9336609337,1,0.0024570025,1,0,1,-1,-1,-1,1
3181,2,3,1,1,21,0,0.0555555556,1,0.9444444444,0,0,1,0,1,-1,1
9851,3,2,0,0,11,0,0.1732283465,1,0.0,0,1,1,1,1,1,0
1600,1,2,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1,1
5963,2,2,4,0,27,0,0.1075949367,0,0.0,0,0,0,-1,1,1,0
1615,3,2,0,0,18,0,1.0,1,0.0,1,0,0,1,0,-1,1
5920,3,4,6,1,23,0,0.2396694215,1,0.0165289256,0,1,0,-1,1,1,0
9591,3,1,1,0,13,0,0.0434782609,1,0.1449275362,0,1,0,1,1,1,0
3891,3,5,1,0,20,0,0.0,1,0.0,0,0,0,0,1,1,1
2083,5,5,2,1,24,0,1.0,1,0.0,1,0,0,0,1,-1,1
4574,4,4,1,0,14,0,0.0,1,0.0,1,0,0,0,1,1,1
5594,3,8,0,0,19,0,0.0434782609,0,0.0217391304,0,1,1,-1,1,1,0
5121,1,2,10,0,15,0,0.1344537815,1,0.0924369748,0,1,0,0,1,1,0
4587,3,5,1,0,17,0,0.0,1,0.0,0,0,0,0,1,1,1
4902,2,5,0,0,13,0,0.0,1,0.0,0,0,0,0,1,1,1
8252,1,4,10,0,17,0,0.1621621622,1,0.0,0,0,1,-1,1,1,0
5916,2,2,2,0,29,0,0.0716510903,1,0.0218068536,0,0,1,0,1,1,0
5129,3,1,4,0,16,0,0.03125,1,0.015625,0,0,1,0,1,1,0
8334,2,1,0,0,8,0,0.0106382979,1,0.0390070922,0,0,1,1,1,1,0
1918,7,4,1,1,15,1,1.0,1,0.0,1,0,0,-1,1,-1,1
8330,2,2,2,1,17,0,0.0,1,0.0,0,0,0,1,1,1,0
5707,3,5,13,0,22,0,0.306122449,1,0.0,0,0,1,-1,1,1,0
5384,3,3,7,0,32,0,0.1212121212,1,0.0454545455,0,1,1,-1,1,1,0
6336,2,0,1,0,12,0,0.0568181818,1,0.0,0,1,0,-1,1,1,0
2054,2,3,0,0,10,0,0.0,1,1.0,0,0,0,1,1,-1,1
7612,3,5,0,0,16,0,0.2844036697,0,0.0275229358,0,1,1,-1,1,0,0
9209,2,3,1,0,17,0,0.3033707865,1,0.0337078652,0,0,1,1,1,0,0
3963,1,3,0,0,12,0,0.0,1,1.0,0,0,0,1,1,-1,1
1126,2,2,0,0,9,0,0.7435897436,1,0.0,1,0,0,1,1,-1,1
3428,3,4,0,0,23,0,0.0,1,0.0,0,0,0,1,1,1,1
4601,2,5,0,0,16,1,0.0,1,0.0,0,0,0,0,1,1,1
3721,3,4,5,4,57,0,0.0555555556,1,0.9444444444,0,0,1,-1,1,-1,1
2389,2,3,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1,1
1322,2,4,0,0,12,0,0.0,1,1.0,1,0,1,0,1,-1,1
1603,1,4,1,0,19,0,0.9230769231,1,0.0,1,0,0,1,1,-1,1
7224,2,4,1,0,22,0,0.2879256966,0,0.0,0,0,0,0,1,1,0
7425,1,1,13,0,13,0,0.0552995392,0,0.0276497696,0,0,0,-1,1,1,0
4336,6,3,0,0,18,0,0.0,1,0.0,1,0,0,0,0,1,1
5593,2,8,0,0,26,0,0.0169491525,0,0.0,0,1,0,-1,1,1,0
4411,2,5,1,1,13,0,0.0327868852,1,0.9672131148,0,0,0,0,1,-1,1
5858,2,2,10,0,20,0,0.2879581152,1,0.0209424084,0,0,1,-1,1,1,0
9343,3,3,1,1,17,0,0.0350877193,0,0.0,0,0,0,1,1,1,0
3991,2,4,2,0,24,0,0.0,1,0.0,0,0,0,-1,1,1,1
6079,4,1,0,0,16,0,0.0,1,0.0,0,0,0,0,1,1,0
1559,2,3,0,0,11,1,0.9230769231,1,0.0,1,0,0,1,1,-1,1
4682,3,4,0,0,18,0,0.0,1,1.0,0,0,0,0,1,-1,1
7557,3,4,4,0,20,0,0.1048387097,1,0.1693548387,0,1,1,0,1,1,0
3772,2,4,0,0,14,0,0.0,1,1.0,1,0,1,1,1,-1,1
8779,4,4,2,0,16,0,0.1440329218,1,0.0,0,0,1,0,-1,1,0
3457,5,3,0,0,32,0,0.0,1,0.0,0,0,0,0,1,1,1
8383,1,2,0,0,12,0,0.0125,0,0.025,0,0,1,1,1,1,0
1354,3,2,1,0,20,0,0.0,1,0.0,0,0,0,1,1,1,1
45,3,2,0,0,19,0,0.5,1,0.0,0,0,1,1,1,0,1
9872,2,0,1,1,29,0,0.5054945055,0,0.0,0,1,0,1,1,0,0
748,1,4,2,2,24,0,0.6666666667,1,0.1666666667,1,0,0,-1,1,-1,1
7917,3,2,11,1,26,0,0.1458333333,1,0.0208333333,0,0,0,-1,1,1,0
4241,3,3,0,0,17,0,1.0,1,0.0,1,0,1,0,1,-1,1
5628,3,14,2,0,13,0,0.0833333333,0,0.0,0,0,0,-1,1,1,0
4657,4,3,1,0,17,1,0.8181818182,1,0.0909090909,0,0,1,0,1,-1,1
4238,3,7,1,1,14,1,0.0,1,0.0,0,0,0,-1,1,1,1
3460,3,2,0,0,16,0,0.0,1,0.0,0,0,0,1,1,1,1
7381,4,2,0,0,29,0,0.0,1,0.0,0,0,0,-1,1,1,0
5549,3,2,0,0,25,0,0.0,0,0.0,1,0,1,-1,1,1,0
7075,1,4,14,2,17,0,0.0371517028,1,0.0464396285,0,0,1,-1,1,1,0
5838,3,1,0,0,21,0,0.1379310345,0,0.0,0,1,0,0,1,1,0
8091,2,2,0,0,14,0,0.0,0,0.0,0,0,0,0,1,1,0
5474,2,1,0,0,12,0,0.0555555556,1,0.0,0,1,0,-1,1,1,0
3614,3,3,0,0,32,0,1.0,1,0.0,1,0,0,0,1,-1,1
7501,1,3,3,0,21,0,0.2235294118,1,0.0352941176,0,0,1,0,1,1,0
7053,1,3,11,0,13,0,0.2911392405,1,0.0126582278,0,0,1,-1,1,1,0
7367,1,3,0,0,21,0,0.018018018,1,0.0,0,0,1,-1,1,1,0
8019,1,2,8,0,12,0,0.0289855072,1,0.0347826087,0,0,0,-1,-1,1,0
9638,2,0,0,0,27,0,0.0786516854,1,0.0,0,0,0,1,1,1,0
9055,1,0,0,0,18,0,0.1212121212,0,0.0909090909,0,0,0,1,1,1,0
664,2,3,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1,1
2319,4,2,0,0,22,0,0.0,1,0.0,0,0,0,0,1,1,1
3542,2,5,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1,1
3677,4,5,0,0,20,0,0.0338983051,1,0.6610169492,0,0,1,-1,1,-1,1
9599,3,1,3,0,19,0,0.0216216216,1,0.0018018018,0,0,1,0,0,1,0
3091,2,3,0,0,22,0,0.0,1,0.0,0,0,0,1,1,1,1
675,3,6,0,0,16,0,1.0,1,0.0,1,0,0,0,1,-1,1
8676,1,2,4,0,8,0,0.1615384615,1,0.0769230769,0,1,0,1,1,1,0
4884,3,3,0,0,26,0,0.0,1,0.0,1,0,0,-1,1,1,1
8079,2,4,5,0,15,0,0.3333333333,1,0.0476190476,0,0,0,-1,1,0,0
1962,5,2,1,0,31,1,0.4716981132,1,0.0377358491,1,0,0,0,1,0,1
1840,1,9,0,0,13,0,0.0,1,0.0,1,0,0,-1,1,1,1
7168,3,1,5,0,19,0,0.1157894737,1,0.0,0,0,1,0,1,1,0
9898,2,3,0,0,13,0,0.0476190476,1,0.1125541126,0,0,0,1,-1,1,0
3538,4,2,0,0,26,1,0.0,1,0.0,0,0,0,1,1,1,1
8026,1,4,5,0,13,1,0.1549295775,1,0.0281690141,0,0,1,0,1,1,0
4866,2,2,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1,1
4174,2,4,1,0,11,0,1.0,1,0.0,1,0,1,1,1,-1,1
8088,2,4,1,1,13,0,0.1131221719,1,0.0,0,0,1,0,1,1,0
4377,5,6,0,0,12,1,0.9,1,0.1,1,0,1,0,0,-1,1
6211,2,3,9,0,12,0,0.1162079511,1,0.0703363914,0,0,1,-1,1,1,0
4766,3,6,1,0,32,0,0.0,1,0.0,0,0,0,-1,1,1,1
411,1,2,1,1,24,0,0.8461538462,1,0.1538461538,1,0,1,1,1,-1,1
613,4,4,2,0,12,2,0.0,1,0.0,1,0,1,-1,1,1,1
6126,3,2,5,0,25,0,0.1404494382,1,0.0112359551,0,0,1,-1,1,1,0
5210,3,1,0,0,20,0,0.0384615385,1,0.0,0,0,0,-1,0,1,0
1430,3,2,0,0,13,0,0.0,0,0.0,1,0,0,1,1,1,1
2425,2,1,0,0,24,1,0.6,1,0.0,1,0,1,1,1,0,1
8841,2,1,0,0,9,0,0.08,1,0.0,0,0,0,1,-1,1,0
3833,4,9,2,0,18,1,0.0,1,0.0,0,0,0,-1,1,1,1
4718,4,3,0,0,9,0,0.0349344978,1,0.0,0,0,1,-1,1,1,1
7185,5,3,0,0,15,0,0.2518518519,1,0.0,0,1,1,0,0,1,0
1417,2,2,1,1,38,0,0.0,0,1.0,0,0,0,0,1,-1,1
7199,2,1,0,0,10,0,0.0,1,0.0,0,0,0,-1,1,1,0
604,2,4,0,0,17,0,1.0,1,0.0,0,0,0,1,1,-1,1
1272,1,4,1,0,13,0,0.0,1,0.0,0,0,0,-1,1,1,1
3964,1,3,0,0,12,0,0.8181818182,1,0.0909090909,1,0,1,1,1,-1,1
6367,1,2,6,0,8,0,0.1619047619,0,0.0380952381,0,1,0,0,1,1,0
8746,1,4,0,0,9,0,0.0705882353,0,0.0117647059,0,0,1,1,1,1,0
247,2,4,1,0,13,0,1.0,1,0.0,1,0,1,0,1,-1,1
9226,3,2,0,0,21,0,0.1648351648,1,0.0,0,0,0,0,0,1,0
1982,2,2,0,0,10,0,0.0,1,1.0,0,0,0,1,1,-1,1
2835,1,2,0,0,18,0,0.0,1,1.0,0,0,0,1,1,-1,1
5375,2,3,7,0,18,0,0.1761363636,1,0.0,0,0,1,-1,1,1,0
199,4,1,11,1,19,0,0.9268292683,1,0.0243902439,1,0,0,-1,0,-1,1
485,1,1,0,0,13,0,0.0,1,0.0,0,0,0,1,1,1,1
6083,3,2,0,0,15,0,0.1896551724,1,0.0057471264,0,0,0,0,1,1,0
8956,1,0,0,0,22,0,0.3609958506,1,0.0082987552,0,0,0,1,0,0,0
455,1,4,1,0,13,0,0.0,1,0.0,0,0,0,-1,1,1,1
9798,2,0,0,0,20,0,0.0909090909,1,0.0303030303,0,0,0,1,0,1,0
8826,1,1,0,0,9,0,0.0294117647,1,0.0,0,0,0,1,1,1,0
6515,2,4,2,0,19,0,0.1162790698,0,0.0,0,0,0,-1,1,1,0
1721,3,7,1,0,22,0,0.0,1,0.9230769231,0,0,0,-1,1,-1,1
7050,1,5,5,0,17,0,0.1,1,0.05,0,0,0,-1,1,1,0
6382,1,7,6,0,18,0,0.0862068966,0,0.0517241379,0,0,1,-1,1,1,0
8165,1,5,7,0,13,0,0.0298507463,1,0.0029850746,0,1,1,0,0,1,0
5767,2,5,2,0,20,0,0.0888888889,1,0.0266666667,0,0,0,-1,1,1,0
5809,2,5,8,0,12,0,0.276119403,1,0.0,0,0,1,-1,1,1,0
4626,3,3,1,0,17,0,0.03930131,1,0.9475982533,0,0,1,1,0,-1,1
862,4,3,0,0,12,1,0.375,1,0.0,1,0,0,-1,1,0,1
2094,2,5,2,0,11,0,0.0,1,0.0,0,0,0,-1,1,1,1
947,2,4,0,0,24,0,0.0,1,1.0,1,0,0,0,1,-1,1
5641,3,3,9,0,21,0,0.0023474178,1,0.0328638498,0,0,1,-1,-1,1,0
1444,4,3,0,0,12,1,0.375,1,0.0,1,0,0,-1,1,0,1
1280,1,3,0,0,17,0,1.0,1,0.0,0,0,1,1,1,-1,1
