,NumDots,PathLevel,NumDash,NumDashInHostname,HostnameLength,NumSensitiveWords,PctExtHyperlinks,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,IframeOrFrame,UrlLengthRT,AbnormalExtFormActionR,PctExtNullSelfRedirectHyperlinksRT
8187,1,3,11,0,8,0,0.1954887218,1,0.015037594,0,0,1,-1,-1,1
2753,3,1,0,0,19,0,0.9230769231,1,0.0,1,0,0,1,1,-1
9753,6,3,0,0,16,0,0.2619047619,1,0.0,0,0,1,0,1,1
6231,2,1,0,0,21,0,0.2058823529,1,0.0,1,1,1,-1,0,1
2876,2,2,1,1,42,0,0.0,0,1.0,0,0,0,0,1,-1
5323,2,3,4,0,15,0,0.2352941176,1,0.0294117647,0,0,1,0,0,1
799,2,2,0,0,25,0,0.9230769231,1,0.0,1,0,0,1,1,-1
3570,2,5,0,0,17,0,0.0,1,0.0,0,0,0,-1,1,1
2894,2,3,0,0,18,0,0.0,1,0.0,0,0,0,1,1,1
2927,2,2,1,0,22,0,0.0,1,0.0,0,0,0,1,1,1
8178,3,4,10,0,19,0,0.3417366947,1,0.0028011204,0,1,1,-1,1,0
971,1,6,0,0,22,0,0.0,1,0.0,0,0,0,-1,1,1
6687,3,3,11,0,28,0,0.119047619,0,0.0119047619,0,1,1,-1,1,1
8575,2,2,1,1,15,0,0.0350877193,1,0.0,0,0,0,1,1,1
2020,2,3,0,0,16,0,0.0,1,0.8,0,0,1,1,1,-1
9054,1,4,0,0,18,0,0.021978022,0,0.0054945055,0,0,0,1,1,1
952,2,1,1,1,18,0,0.0,1,0.0,0,0,0,1,1,1
5359,1,5,0,0,13,0,0.2333333333,1,0.0333333333,0,0,0,0,1,1
3857,3,5,1,0,17,0,0.0,1,0.0,0,0,0,0,1,1
5861,2,4,2,0,13,0,0.0229885057,1,0.0,0,0,0,-1,1,1
3145,3,3,1,0,28,0,1.0,1,0.0,1,0,0,-1,1,-1
3305,3,5,5,4,66,0,0.0555555556,1,0.9444444444,0,0,1,-1,1,-1
3006,3,7,2,0,15,1,0.9090909091,1,0.0909090909,1,0,0,-1,1,-1
9001,1,3,1,0,21,0,0.1818181818,0,0.0227272727,0,1,0,0,1,1
7770,3,3,3,0,14,0,0.1290322581,1,0.0,0,0,1,-1,1,1
7438,2,2,8,0,21,0,0.1276595745,1,0.0106382979,0,0,1,-1,1,1
7942,1,3,5,0,21,0,0.4426229508,0,0.0,0,0,1,-1,1,0
9238,2,3,2,0,16,0,0.2686567164,1,0.0,0,0,0,0,1,1
1056,1,6,0,0,22,0,0.0,1,0.0,0,0,0,-1,1,1
3154,6,4,0,0,28,2,0.7857142857,1,0.0,0,0,0,0,1,-1
3787,4,2,2,1,28,0,0.2,1,0.0,0,1,0,-1,1,1
9189,3,3,0,0,18,0,0.013986014,1,0.0244755245,0,0,0,0,1,1
7825,2,3,0,0,33,0,0.5555555556,1,0.0,0,0,0,0,0,0
7539,3,3,14,0,19,0,0.106557377,1,0.0245901639,0,0,0,-1,1,1
7231,2,2,3,1,14,0,0.36,1,0.04,0,0,1,-1,0,0
764,3,3,0,0,12,1,0.0,1,0.0,0,0,0,1,1,1
5019,3,0,0,0,16,0,0.358974359,0,0.0,0,0,0,1,1,0
4903,2,5,0,0,13,0,0.0,1,0.9473684211,0,0,0,1,1,-1
8093,1,6,7,0,13,0,0.1517241379,1,0.0,0,0,1,-1,1,1
6843,1,4,0,0,18,0,0.1533742331,1,0.0,0,0,0,0,1,1
2165,2,5,0,0,15,1,0.0,1,0.0,0,0,0,-1,1,1
1862,4,2,0,0,26,1,0.0,1,1.0,0,0,0,0,1,-1
7850,2,4,3,0,10,0,0.0909090909,0,0.0,0,0,0,-1,1,1
9123,2,2,3,0,23,0,0.015503876,1,0.0051679587,0,0,1,0,1,1
2340,2,6,0,0,24,0,0.0,1,1.0,0,0,0,-1,1,-1
5527,1,2,19,1,11,0,0.5739130435,1,0.0,0,0,0,-1,1,0
6743,5,8,0,0,11,0,0.0,1,0.0039370079,0,0,1,0,-1,1
4003,2,4,3,2,24,1,0.75,1,0.125,0,0,0,0,1,-1
1123,2,2,0,0,15,0,0.0,1,0.0,0,0,0,1,1,1
8709,1,0,3,0,17,0,0.0206185567,1,0.0103092784,0,0,0,0,1,1
4049,2,2,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1
7640,3,1,3,0,25,0,0.1206896552,1,0.0,0,0,1,0,1,1
765,4,2,0,0,25,0,0.0,1,1.0,1,0,1,0,1,-1
2344,2,3,0,0,15,0,0.0,1,0.0,0,0,0,1,1,1
4071,2,2,0,0,20,0,1.0,1,0.0,1,0,1,1,1,-1
7216,4,3,0,0,13,0,0.1714285714,1,0.1142857143,0,0,0,-1,1,1
4216,3,5,1,0,13,0,0.0,1,1.0,0,0,0,0,1,-1
7952,2,4,0,0,18,0,0.023255814,1,0.0,0,0,0,0,0,1
5970,1,2,8,0,10,0,0.1727272727,1,0.0727272727,0,0,1,-1,0,1
3350,2,4,1,1,29,1,0.0909090909,1,0.0,0,0,0,-1,0,1
4695,3,5,1,0,24,0,0.8666666667,1,0.0,1,0,0,0,1,-1
3399,2,2,1,1,14,0,0.0294117647,1,0.0,0,0,0,1,1,1
4081,3,2,0,0,13,1,1.0,1,0.0,1,0,0,1,1,-1
9149,1,3,0,0,8,0,0.3714285714,1,0.0,0,0,1,1,1,0
1224,4,5,0,0,19,0,0.0,1,0.0,0,0,0,0,1,1
6292,2,2,0,0,20,0,0.1402214022,1,0.0,0,0,0,0,1,1
3122,3,3,0,0,34,0,0.0,1,1.0,1,0,1,0,1,-1
510,2,2,0,0,20,0,1.0,1,0.0,1,0,0,1,0,-1
5794,2,2,8,0,24,0,0.095,0,0.005,0,1,1,-1,1,1
8181,1,5,7,0,15,0,0.0562770563,1,0.025974026,0,0,1,-1,1,1
9417,2,3,1,0,19,0,0.0,0,0.0,0,0,1,1,1,1
96,3,3,0,0,29,0,0.0,1,0.0,0,0,0,1,1,1
6681,1,2,7,0,14,0,0.1891891892,0,0.0,0,1,0,-1,1,1
1512,3,4,1,0,18,0,0.0,1,1.0,0,0,0,0,1,-1
8791,1,3,1,0,13,0,0.0167597765,1,0.0502793296,0,0,0,1,1,1
119,2,3,0,0,13,0,1.0,1,0.0,1,0,0,1,1,-1
7791,3,2,0,0,19,0,0.0,1,0.0,0,0,0,-1,1,1
6517,2,3,7,0,28,0,0.15,0,0.0,0,0,1,-1,1,1
33,2,6,1,0,15,0,0.0,1,0.0,0,0,0,0,1,1
7887,3,2,0,0,18,0,0.0087719298,1,0.0,0,0,0,-1,1,1
6830,1,2,10,0,11,0,0.2375,1,0.05,0,1,0,-1,0,1
5421,2,1,8,0,19,0,0.0909090909,0,0.0,0,1,0,-1,1,1
1068,5,2,0,0,19,0,0.0,1,0.0,1,0,0,1,1,1
1347,2,4,1,0,9,0,0.0,1,0.0,0,0,0,1,1,1
4747,2,2,1,1,41,0,0.0,0,1.0,0,0,0,0,1,-1
6005,2,2,0,0,21,0,0.0224719101,0,0.0112359551,0,0,0,0,1,1
6039,1,5,9,0,11,0,0.2253521127,1,0.014084507,0,0,1,-1,0,1
3817,3,1,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1
8446,1,5,2,1,14,0,0.425,1,0.025,0,0,1,1,1,0
5269,3,3,2,0,23,0,0.2915129151,0,0.0073800738,0,0,1,0,1,1
6897,4,5,5,0,22,0,0.0,1,0.0,0,0,0,-1,1,1
5309,3,3,5,0,39,0,0.3114754098,1,0.012295082,0,1,1,-1,0,0
31,2,2,0,0,19,0,1.0,1,0.0,0,0,1,1,1,-1
5674,3,2,0,0,12,0,0.0769230769,1,0.0,0,0,0,-1,1,1
4386,2,4,1,0,12,0,1.0,1,0.0,1,0,1,1,1,-1
29,5,6,0,0,9,0,0.6551724138,1,0.1034482759,1,0,0,-1,-1,-1
4202,4,4,1,0,17,0,0.9230769231,1,0.0,1,0,0,1,1,-1
7507,1,5,8,0,19,0,0.1081081081,1,0.0,0,1,1,-1,1,1
735,9,5,4,3,65,1,1.0,1,0.0,1,0,0,-1,0,-1
2067,2,2,0,0,14,0,0.0,1,0.0,0,0,0,1,1,1
106,5,5,0,0,30,0,0.0,1,0.0,0,0,0,-1,1,1
9644,2,2,3,0,19,0,0.0280373832,1,0.0934579439,0,0,1,0,1,1
8894,3,1,0,0,11,0,0.25,0,0.0,0,0,0,0,1,1
8020,2,2,4,0,25,0,0.0884955752,1,0.0796460177,0,0,1,-1,1,1
2232,2,3,0,0,19,0,0.0,1,0.0,0,0,0,0,1,1
993,2,3,1,0,17,0,0.0,1,0.0,1,0,0,1,1,1
9412,2,0,0,0,20,0,0.0,0,0.0,0,0,0,1,1,1
7058,2,1,0,0,15,0,0.018018018,1,0.0,0,0,0,-1,-1,1
6789,3,4,8,0,16,0,0.2331838565,0,0.0044843049,0,0,1,-1,0,1
360,3,2,0,0,15,0,1.0,1,0.0,1,0,0,1,1,-1
304,3,8,1,1,16,0,1.0,1,0.0,0,0,1,0,1,-1
2627,2,2,0,0,9,0,1.0,1,0.0,1,0,1,1,1,-1
8965,3,2,0,0,15,0,0.0,1,0.0,0,0,0,0,1,1
4513,3,3,0,0,21,0,0.3333333333,1,0.6666666667,0,0,1,1,1,-1
5910,2,6,0,0,23,0,0.0049751244,0,0.0,0,1,0,0,1,1
8313,1,2,1,0,12,0,0.038961039,0,0.0,0,1,0,1,1,1
3100,2,3,0,0,22,0,0.0,1,0.0,0,0,0,1,1,1
5703,2,6,1,0,13,0,0.0198915009,1,0.0,0,0,1,-1,1,1
3898,3,5,1,0,24,0,0.9268292683,1,0.0243902439,1,0,0,-1,1,-1
5440,3,2,20,0,12,0,0.1153846154,0,0.0,0,1,1,-1,1,1
7930,1,5,2,0,18,0,0.1885245902,1,0.0901639344,0,0,1,0,0,1
621,1,6,1,1,17,0,1.0,1,0.0,1,0,0,0,1,-1
7235,1,5,4,0,16,0,0.1307692308,1,0.0769230769,0,0,0,-1,1,1
2498,2,5,0,0,13,0,0.0,1,1.0,0,0,0,0,1,-1
713,1,2,0,0,25,0,0.9230769231,1,0.0,1,0,0,1,1,-1
8403,1,2,4,0,19,0,0.3125,1,0.0208333333,0,0,0,0,1,0
2855,2,2,1,1,15,0,0.1081081081,1,0.0,0,0,0,1,1,1
4269,3,1,0,0,22,0,1.0,1,0.0,1,0,1,1,0,-1
2908,3,3,1,0,19,0,0.0,1,0.0,0,0,0,-1,1,1
8080,2,3,3,0,18,0,0.0898876404,1,0.0,0,0,1,-1,1,1
4516,3,2,0,0,21,0,0.0,1,0.0,0,0,0,1,1,1
1261,2,5,0,0,12,0,0.0,1,1.0,1,0,0,0,1,-1
3160,2,2,2,1,14,0,0.0,0,0.0,1,0,0,-1,1,1
970,1,2,0,0,12,0,0.0,1,0.0,0,0,0,1,1,1
3912,2,3,0,0,12,0,0.0,1,1.0,0,0,0,1,1,-1
5198,3,3,0,0,12,0,0.0,1,0.0,0,0,0,0,1,1
8846,3,4,0,0,16,0,0.0208333333,0,0.0,0,0,0,0,1,1
259,2,5,1,0,13,0,1.0,1,0.0,1,0,1,0,1,-1
3790,4,2,2,1,28,0,0.2,1,0.0,0,1,0,-1,1,1
9202,2,6,0,0,17,0,0.0416666667,1,0.0049019608,0,1,1,1,1,1
487,2,4,0,0,24,0,0.0,1,0.0,0,0,0,0,1,1
7907,2,4,14,0,15,0,0.1276595745,1,0.0,0,0,1,-1,1,1
518,4,3,0,0,12,0,0.375,1,0.0,1,0,0,0,1,0
8342,1,0,0,0,14,0,0.1028037383,0,0.0,0,0,0,1,1,1
311,3,8,1,1,16,0,1.0,1,0.0,0,0,1,0,1,-1
3231,6,6,0,0,12,2,0.0,1,0.9230769231,0,0,0,-1,1,-1
7932,1,5,4,0,14,0,0.1363636364,1,0.0113636364,0,1,1,0,-1,1
7457,2,1,0,0,12,0,0.2631578947,0,0.0,0,0,0,0,1,1
9783,3,0,0,0,18,0,0.4,0,0.1,0,0,1,1,1,0
5183,1,4,1,1,16,0,0.2,1,0.0,0,0,0,-1,1,1
8076,1,6,2,0,13,0,0.1228070175,0,0.0175438596,0,0,0,0,1,1
6501,2,6,16,0,11,0,0.0,0,0.0,0,0,1,-1,1,1
6790,1,6,4,0,18,0,0.6496062992,1,0.0078740157,1,1,1,-1,-1,0
7772,3,4,1,0,21,0,0.25,1,0.0,0,0,0,0,-1,1
2737,2,6,1,0,6,0,1.0,1,0.0,1,0,0,1,1,-1
7841,2,1,3,0,11,0,0.0945945946,0,0.027027027,0,1,1,0,0,1
6261,1,3,6,0,13,0,0.1540983607,1,0.0524590164,0,1,1,0,-1,1
8205,4,2,0,0,17,1,0.2058823529,0,0.0,0,0,0,-1,1,1
1247,2,3,0,0,12,0,0.375,1,0.0,1,0,0,-1,1,0
9335,4,2,0,0,17,0,0.1,1,0.0,0,0,0,0,0,1
4194,5,9,0,0,20,1,0.8571428571,1,0.0,1,0,1,-1,1,-1
8000,4,3,0,0,24,0,0.1610169492,1,0.0084745763,0,0,0,-1,-1,1
7377,2,3,7,0,13,0,0.0933333333,0,0.0,0,1,0,-1,1,1
3434,3,3,2,1,30,1,0.0,1,0.0,0,0,0,0,1,1
5381,2,7,1,0,21,0,0.1496062992,1,0.0,0,0,1,-1,1,1
958,2,6,1,0,13,0,0.9,1,0.1,1,0,1,0,1,-1
416,14,3,0,0,12,0,0.0,1,0.0,0,0,0,-1,0,1
5741,2,1,0,0,16,0,0.0,1,0.0,0,1,0,-1,0,1
6727,2,2,0,0,17,0,0.018018018,1,0.0,0,1,1,0,1,1
4381,4,4,1,0,20,0,1.0,1,0.0,1,0,0,0,1,-1
5196,2,3,11,0,23,0,0.103960396,0,0.0,0,0,1,-1,1,1
1112,3,4,1,0,24,1,0.0,1,0.0,0,0,0,0,1,1
2688,3,4,0,0,18,0,0.0,1,0.0,0,0,0,1,1,1
6472,2,3,7,3,31,0,0.1290322581,0,0.0,0,0,1,-1,1,1
8819,1,3,1,0,20,0,0.0,0,0.0,0,0,0,1,1,1
7807,2,3,4,0,26,0,0.203125,0,0.015625,0,1,1,-1,1,1
3410,2,3,1,1,23,1,0.9141630901,1,0.008583691,1,0,1,1,0,-1
80,1,3,1,1,14,0,0.5,1,0.5,0,0,1,0,1,-1
4613,3,4,0,0,17,0,0.962962963,1,0.037037037,0,0,1,1,1,-1
1373,1,2,1,0,9,0,0.0,1,0.0,0,0,0,1,1,1
1509,2,3,0,0,19,0,0.0,1,1.0,1,0,1,1,1,-1
6442,2,3,3,0,12,0,0.175,1,0.0,0,1,0,-1,-1,1
3070,2,3,0,0,22,0,0.0,1,0.0,0,0,0,1,-1,1
3015,2,4,0,0,18,0,0.0,0,0.0,0,0,1,-1,1,1
4822,2,3,0,0,13,0,0.0,1,0.0,0,0,0,1,1,1
7821,3,2,2,1,19,0,0.1967213115,1,0.131147541,0,0,0,0,1,0
92,4,2,0,0,19,0,0.0,1,0.0,0,0,0,1,1,1
9420,2,0,0,0,24,0,0.296,1,0.032,0,0,1,1,0,0
6599,6,5,1,0,24,0,0.0434782609,0,0.0,0,1,1,-1,1,1
4442,3,5,0,0,21,0,0.0,1,1.0,0,0,0,0,1,-1
7601,1,5,5,0,17,0,0.2244897959,1,0.0051020408,0,0,1,0,1,1
3834,4,9,2,0,18,1,0.0,1,0.0,0,0,0,-1,1,1
9701,2,3,2,1,16,0,0.0088757396,0,0.0059171598,0,1,0,1,1,1
4321,2,1,0,0,31,0,0.6470588235,1,0.2941176471,1,0,1,1,0,-1
3393,11,2,0,0,72,0,1.0,1,0.0,0,0,1,-1,1,-1
4751,3,2,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1
7228,2,3,0,0,13,0,0.1034482759,1,0.0,0,1,1,-1,1,1
9190,3,0,0,0,28,0,0.2528735632,1,0.0459770115,0,0,1,1,1,1
2360,2,1,1,1,19,0,1.0,1,0.0,1,0,0,1,0,-1
1147,3,4,0,0,18,0,0.0,1,0.0,0,0,0,0,1,1
5665,1,2,0,0,16,0,0.0,0,0.0,0,0,0,-1,1,1
8074,1,5,11,0,16,0,0.2993630573,1,0.0127388535,0,0,1,-1,0,0
4942,2,6,1,0,35,0,0.0,1,1.0,0,0,1,-1,1,-1
3662,6,5,0,0,21,1,0.0,1,0.0,0,0,0,-1,1,1
1562,2,5,0,0,16,0,0.9230769231,1,0.0,1,0,0,1,1,-1
4112,3,9,1,0,27,2,0.0,0,0.0,0,0,0,-1,1,1
9049,1,2,0,0,10,0,0.0577777778,0,0.0,0,0,0,1,1,1
9275,2,0,0,0,20,0,0.0222222222,0,0.0888888889,0,0,0,1,1,1
8537,1,2,2,0,19,0,0.0136476427,1,0.0012406948,0,0,0,1,1,1
794,2,3,0,0,27,0,0.0,1,0.0,0,0,0,1,1,1
5853,1,6,11,0,7,0,0.4032258065,1,0.0120967742,0,1,1,-1,1,0
7618,1,3,6,0,10,0,0.095890411,1,0.0273972603,0,0,1,0,1,1
1593,3,4,1,0,26,0,0.0,1,0.0,0,0,0,-1,1,1
7417,2,2,0,0,15,0,0.0833333333,1,0.0,0,0,0,0,1,1
5266,1,2,12,0,9,0,0.1492537313,1,0.0820895522,0,1,0,-1,1,1
7146,1,2,12,0,8,0,0.1300813008,1,0.0894308943,0,1,0,-1,1,1
88,2,2,0,0,18,0,0.8571428571,1,0.1428571429,1,0,0,1,1,-1
8694,1,2,3,0,19,0,0.0416666667,1,0.0,0,1,0,0,1,1
9731,3,2,1,0,18,0,0.0061349693,1,0.0306748466,0,1,1,0,1,1
9445,3,5,0,0,13,0,0.375,0,0.0,0,0,0,1,1,0
6753,2,6,9,0,27,0,0.4583333333,1,0.0,0,1,0,-1,1,0
3501,4,4,0,0,23,0,0.0,1,0.8,0,0,1,0,1,-1
2233,2,3,0,0,19,0,0.0,1,0.0,0,0,0,0,1,1
2802,2,2,0,0,16,1,0.9333333333,1,0.0,1,0,0,1,1,-1
4423,5,4,1,1,28,0,1.0,1,0.0,1,0,0,0,1,-1
5662,3,2,0,0,18,0,0.1111111111,1,0.0,0,0,0,0,1,1
7169,1,4,8,0,17,0,0.1115702479,0,0.020661157,0,1,1,-1,1,1
8336,1,2,0,0,13,0,0.0579710145,1,0.0,0,0,1,1,-1,1
2147,2,3,1,0,17,0,0.9230769231,1,0.0,1,0,0,1,1,-1
7968,2,3,0,0,21,0,0.1111111111,0,0.0,0,0,0,0,1,1
6550,2,4,0,0,21,0,0.0761904762,1,0.0,0,0,1,-1,1,1
7642,3,2,10,0,24,0,0.0795454545,0,0.0113636364,0,0,1,-1,1,1
6163,1,4,6,0,11,0,0.0666666667,1,0.0,0,1,0,-1,-1,1
1494,4,3,0,0,12,0,0.375,1,0.0,1,0,0,0,1,0
7695,3,2,7,0,21,0,0.1478016838,1,0.0,0,1,1,-1,1,1
7093,1,4,6,0,13,0,0.0731707317,1,0.012195122,0,0,1,-1,1,1
1408,4,4,0,0,21,0,0.0,1,0.0,0,0,0,0,1,1
6690,1,5,5,0,9,0,0.112,1,0.144,0,0,1,-1,1,1
3400,2,5,1,0,20,0,0.0,1,0.0,0,0,0,0,1,1
108,3,3,0,0,15,0,0.0909090909,1,0.0,1,0,0,-1,1,1
5635,7,6,1,0,14,0,0.0072992701,0,0.0,0,0,1,-1,1,1
8481,1,2,2,0,19,0,0.0163934426,1,0.0327868852,0,0,0,1,1,1
6603,1,2,6,0,16,0,0.1301369863,1,0.0753424658,0,1,1,0,1,1
1090,3,4,1,0,26,0,0.9333333333,1,0.0,1,0,0,0,1,-1
5559,2,9,1,0,18,0,0.0611111111,1,0.0,0,0,0,-1,1,1
9411,2,2,1,0,23,0,0.1153846154,1,0.0288461538,0,0,1,1,1,1
8142,1,5,9,0,12,0,0.0816326531,1,0.0204081633,0,1,1,-1,1,1
8663,1,2,0,0,13,0,0.1,0,0.0,0,0,0,1,1,1
6595,6,2,0,0,20,1,0.0,1,0.0,1,0,0,-1,-1,1
623,2,3,0,0,22,0,1.0,1,0.0,0,0,1,1,1,-1
6870,2,2,0,0,7,0,0.2142857143,1,0.0,0,0,0,0,1,1
4813,4,3,0,0,22,0,1.0,1,0.0,1,0,0,1,1,-1
6552,2,4,0,0,15,0,0.0,0,0.0114942529,0,0,0,0,1,1
7529,2,5,7,0,28,0,0.1639344262,1,0.2418032787,0,0,1,-1,1,0
5795,2,1,10,0,19,0,0.0,0,0.0,0,0,0,-1,1,1
7436,2,6,0,0,16,0,0.037037037,1,0.012345679,0,1,0,-1,1,1
4217,2,4,1,0,17,0,0.9230769231,1,0.0,1,0,0,0,1,-1
5940,2,1,0,0,19,0,0.1967213115,1,0.0,0,0,0,-1,1,1
8500,4,1,0,0,16,0,0.0,1,0.0,0,1,0,0,1,1
6428,2,8,0,0,26,0,0.3043478261,0,0.0434782609,0,1,1,-1,1,0
6826,2,5,6,0,26,0,0.1607142857,1,0.1785714286,0,0,1,-1,1,0
4130,2,4,0,0,15,0,0.0,1,0.0,0,0,0,0,1,1
7801,3,3,6,0,21,0,0.1612903226,1,0.0322580645,0,0,1,-1,0,1
7753,2,6,6,0,17,0,0.1320754717,1,0.0094339623,0,1,0,0,1,1
4721,3,5,1,0,14,0,1.0,1,0.0,1,0,0,0,1,-1
1650,3,7,1,0,22,0,0.0,1,0.9230769231,0,0,0,-1,1,-1
4140,4,3,1,0,12,1,0.975,1,0.025,1,0,0,1,1,-1
1617,3,5,1,0,11,1,0.1875,1,0.0,1,0,0,-1,1,1
2029,3,6,0,0,20,0,0.0,1,0.0,1,0,0,0,1,1
8517,1,2,0,0,9,0,0.3026315789,0,0.0657894737,0,1,1,1,1,0
4575,5,2,0,0,26,0,0.0,1,1.0,1,0,0,0,1,-1
3992,2,2,1,0,23,0,1.0,1,0.0,1,0,0,1,1,-1
7376,2,6,3,0,16,0,0.0564516129,0,0.0080645161,0,0,1,-1,0,1
6149,1,5,0,0,15,0,0.125,0,0.0,0,0,0,-1,0,1
4908,9,5,0,0,16,1,0.0,1,0.9714285714,0,0,0,-1,-1,-1
5026,1,0,0,0,9,0,0.0093457944,1,0.0093457944,0,0,1,1,1,1
8260,1,2,11,0,14,0,0.1958762887,0,0.0051546392,0,0,1,-1,1,1
4731,3,4,0,0,17,0,0.0,1,1.0,0,0,0,1,1,-1
